更新时间: 2026-04-10 13:51:03（北京时间）

更新时间,#genre#
2026-04-10 13:51:03,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
陕西卫视,http://182.135.34.97:888/rtp/239.94.0.92:5140$四川电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://183.164.55.112:5000/rtp/238.1.79.36:4400$安徽电信
甘肃卫视,http://111.193.235.246:8888/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://182.135.34.97:888/rtp/239.94.0.99:5140$四川电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
青海卫视,http://183.164.55.112:5000/rtp/238.1.78.102:6688$安徽电信
青海卫视,http://111.193.235.246:8888/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
新疆卫视,http://183.164.55.112:5000/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://111.193.235.246:8888/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://182.135.34.97:888/rtp/239.94.0.98:5140$四川电信
西藏卫视,http://183.164.55.112:5000/rtp/238.1.78.101:6680$安徽电信
西藏卫视,http://111.193.235.246:8888/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://182.135.34.97:888/rtp/239.94.0.97:5140$四川电信
三沙卫视,http://183.164.55.112:5000/rtp/238.1.78.27:6144$安徽电信
三沙卫视,http://111.193.235.246:8888/rtp/239.3.1.155:4120$北京市联通
三沙卫视,http://106.116.240.74:9999/rtp/239.254.200.165:4120$河北省电信
兵团卫视,http://183.164.55.112:5000/rtp/238.1.78.104:6704$安徽电信
兵团卫视,http://111.193.235.246:8888/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://182.135.34.97:888/rtp/239.94.0.102:5140$四川电信
兵团卫视,http://106.116.240.74:9999/rtp/239.254.200.156:4120$河北省电信
康巴卫视,http://182.135.34.97:888/rtp/239.94.0.78:5140$四川电信
山东教育卫视,http://111.193.235.246:8888/rtp/239.3.1.52:4120$北京市联通
山东教育卫视,http://106.116.240.74:9999/rtp/239.254.200.247:4120$河北省电信
中国教育1台,http://183.164.55.112:5000/rtp/238.1.78.158:7136$安徽电信
中国教育1台,http://111.193.235.246:8888/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://182.135.34.97:888/rtp/239.94.1.2:5140$四川电信
中国教育1台,http://106.116.240.74:9999/rtp/239.254.200.225:6259$河北省电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育2台,http://111.193.235.246:8888/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://111.193.235.246:8888/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://111.193.235.246:8888/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://182.135.34.97:888/rtp/239.94.1.20:5140$四川电信
中国教育4台,http://106.116.240.74:9999/rtp/239.254.200.227:6261$河北省电信

数字频道,#genre#
CHC动作电影,http://182.135.34.97:888/rtp/239.94.1.175:5140$四川电信
CHC动作电影,http://106.116.240.74:9999/rtp/239.254.200.196:7168$河北省电信
CHC家庭影院,http://182.135.34.97:888/rtp/239.94.1.173:5140$四川电信
CHC家庭影院,http://106.116.240.74:9999/rtp/239.254.200.194:7167$河北省电信
CHC影迷电影,http://182.135.34.97:888/rtp/239.94.1.174:5140$四川电信
CHC影迷电影,http://106.116.240.74:9999/rtp/239.254.200.195:7166$河北省电信
淘电影,http://111.193.235.246:8888/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://111.193.235.246:8888/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://111.193.235.246:8888/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://111.193.235.246:8888/rtp/239.3.1.100:8001$北京市联通
星空卫视,http://182.135.34.97:888/rtp/239.94.2.54:5140$四川电信
星空卫视,http://182.135.34.97:888/rtp/239.94.2.53:5140$四川电信
